ap,dv,lr,area,color
3920.0,1850.0,4120.0,MO,1F9D5A
3920.0,1850.0,4120.0,MO,1F9D5A
3900.0,1800.0,4120.0,MO,1F9D5A
3900.0,1770.0,4150.0,MO,1F9D5A
3900.0,1770.0,4150.0,MO,1F9D5A
3900.0,1750.0,4150.0,MO,1F9D5A
3900.0,1750.0,4150.0,MO,1F9D5A
3870.0,1620.0,4150.0,MO,1F9D5A
3870.0,1600.0,4150.0,MO,1F9D5A
3870.0,1600.0,4150.0,MO,1F9D5A
3920.0,1820.0,4120.0,MO,1F9D5A
3900.0,1700.0,4150.0,MO,1F9D5A
3900.0,1670.0,4150.0,MO,1F9D5A
3870.0,1650.0,4150.0,MO,1F9D5A
3870.0,1600.0,4150.0,MO,1F9D5A
3900.0,1700.0,4150.0,MO,1F9D5A
3870.0,1650.0,4150.0,MO,1F9D5A
3870.0,1650.0,4150.0,MO,1F9D5A
3900.0,1720.0,4150.0,MO,1F9D5A
3900.0,1770.0,4150.0,MO,1F9D5A
3950.0,2070.0,4100.0,MO,1F9D5A
3950.0,2070.0,4100.0,MO,1F9D5A
3950.0,2070.0,4100.0,MO,1F9D5A
3950.0,2020.0,4120.0,MO,1F9D5A
3950.0,2000.0,4120.0,MO,1F9D5A
3920.0,1970.0,4120.0,MO,1F9D5A
3920.0,1970.0,4120.0,MO,1F9D5A
3920.0,1950.0,4120.0,MO,1F9D5A
3920.0,1920.0,4120.0,MO,1F9D5A
3920.0,1900.0,4120.0,MO,1F9D5A
3920.0,1870.0,4120.0,MO,1F9D5A
3920.0,1820.0,4120.0,MO,1F9D5A
3920.0,1820.0,4120.0,MO,1F9D5A
3950.0,2020.0,4120.0,MO,1F9D5A
3920.0,1900.0,4120.0,MO,1F9D5A
3920.0,1900.0,4120.0,MO,1F9D5A
3920.0,1820.0,4120.0,MO,1F9D5A
3950.0,2020.0,4120.0,MO,1F9D5A
3920.0,1870.0,4120.0,MO,1F9D5A
3920.0,1820.0,4120.0,MO,1F9D5A
3920.0,1820.0,4120.0,MO,1F9D5A
3970.0,2250.0,4100.0,MO,1F9D5A
3970.0,2250.0,4100.0,MO,1F9D5A
3970.0,2220.0,4100.0,MO,1F9D5A
3950.0,2150.0,4100.0,MO,1F9D5A
3950.0,2150.0,4100.0,MO,1F9D5A
3950.0,2150.0,4100.0,MO,1F9D5A
3950.0,2150.0,4100.0,MO,1F9D5A
3950.0,2150.0,4100.0,MO,1F9D5A
3950.0,2100.0,4100.0,MO,1F9D5A
3950.0,2070.0,4100.0,MO,1F9D5A
3950.0,2070.0,4100.0,MO,1F9D5A
3950.0,2070.0,4100.0,MO,1F9D5A
3950.0,2070.0,4100.0,MO,1F9D5A
3970.0,2170.0,4100.0,MO,1F9D5A
3950.0,2150.0,4100.0,MO,1F9D5A
3950.0,2070.0,4100.0,MO,1F9D5A
3950.0,2150.0,4100.0,MO,1F9D5A
3950.0,2070.0,4100.0,MO,1F9D5A
3950.0,2100.0,4100.0,MO,1F9D5A
4020.0,2570.0,4050.0,MO,1F9D5A
4020.0,2600.0,4050.0,MO,1F9D5A
4020.0,2600.0,4050.0,MO,1F9D5A
4020.0,2570.0,4050.0,MO,1F9D5A
4020.0,2550.0,4070.0,MO,1F9D5A
4020.0,2520.0,4070.0,MO,1F9D5A
4020.0,2520.0,4070.0,MO,1F9D5A
4000.0,2500.0,4070.0,MO,1F9D5A
4000.0,2500.0,4070.0,MO,1F9D5A
4000.0,2470.0,4070.0,MO,1F9D5A
4000.0,2420.0,4070.0,MO,1F9D5A
4000.0,2420.0,4070.0,MO,1F9D5A
4000.0,2420.0,4070.0,MO,1F9D5A
