Amplitude,Spike Count,Area,Peak (uV),Trough (uV),PTratio,Duration (ms),Footprint
264,169,MOp6a,50.1,-213.6,0.2,0.9,34
231,1506,MOp6a,44.8,-186.1,0.2,0.9,34
69,1257,MOp6a,23,-45.6,0.5,1.03,24
88,844,MOp6a,30.5,-57.7,0.5,0.7,30
83,4076,MOp6a,23,-60.1,0.4,0.83,37
82,2958,MOp6a,27.6,-54.4,0.5,0.73,28
97,608,MOp6a,29.8,-67.5,0.4,0.67,53
199,968,MOp6a,54.9,-144.1,0.4,0.8,60
74,552,MOp6a,22.4,-51.1,0.4,0.77,49
84,2791,MOp6a,17.6,-66.5,0.3,0.93,37
177,343,MOp6a,67.4,-109.6,0.6,0.77,47
281,185,cc,70.4,-210.5,0.3,0.73,55
145,317,cc,55.4,-89.5,0.6,0.87,32
124,3377,cc,22.7,-101.4,0.2,0.77,51
280,563,cc,75.1,-205.2,0.4,0.77,54
137,7979,cc,41.7,-95.2,0.4,0.87,50
212,339,MOp6b,52.1,-159.5,0.3,0.27,10
132,4616,MOp6b,29.7,-102.1,0.3,0.23,9
238,697,MOp6b,43.4,-194.9,0.2,0.3,12
492,55,MOp6a,96.2,-396.1,0.2,0.83,51
433,259,MOp6a,112.9,-320.1,0.4,0.77,67
481,79,MOp6a,91.8,-389.3,0.2,0.83,51
347,331,MOp6a,96.5,-250.6,0.4,0.77,68
507,69,MOp6a,94,-413.4,0.2,0.8,51
420,249,MOp6a,73.2,-347,0.2,0.87,42
477,1635,MOp6a,81.9,-395.5,0.2,0.87,42
427,291,MOp6a,112.3,-314.9,0.4,0.77,65
440,2777,MOp6a,77.1,-362.8,0.2,0.87,42
257,2127,MOp6a,52.9,-204.5,0.3,0.93,44
175,476,MOp6a,53.1,-122,0.4,0.67,43
66,6723,cc,18.2,-47.4,0.4,0.87,28
178,863,cc,42.7,-135,0.3,0.77,44
104,1893,MOp6a,26.7,-77.7,0.3,0.9,31
193,616,MOp2/3,36.7,-156.3,0.2,0.6,68
245,3306,MOs2/3,32.6,-212.7,0.2,0.83,34
145,1687,MOp2/3,42,-102.7,0.4,0.67,51
262,2553,MOp5,65.6,-196.5,0.3,0.73,66
435,1624,MOp5,99.1,-335.6,0.3,0.7,75
195,791,MOp5,53.5,-141.4,0.4,0.57,70
266,384,MOp5,76.8,-189.3,0.4,0.63,84
641,107,MOp5,100,-541.4,0.2,0.73,66
434,502,MOp5,91.7,-342.3,0.3,0.57,68
449,3478,MOp5,65.1,-384.1,0.2,0.9,41
780,973,MOp5,115.5,-665,0.2,0.67,61
376,1880,MOp5,59.3,-316.8,0.2,0.73,44
343,101,MOp5,66.5,-276.8,0.2,0.77,74
295,776,MOp5,56.1,-238.6,0.2,0.6,41
191,1297,MOp5,44.2,-146.9,0.3,0.8,86
624,412,MOp2/3,100.1,-524.1,0.2,0.67,66
174,523,MOp2/3,47.9,-125.8,0.4,0.63,38
472,758,MOp2/3,83.5,-388.2,0.2,0.67,63
525,313,MOp2/3,96.3,-429.1,0.2,0.7,62
514,316,MOp2/3,88.3,-425.6,0.2,0.67,61
445,301,MOp2/3,86.1,-358.8,0.2,0.7,59
145,619,MOp5,44.2,-100.7,0.4,0.67,62
290,580,MOp5,64.3,-226,0.3,0.6,106
458,461,MOp5,110.5,-347.4,0.3,0.63,83
221,2757,MOp5,51.7,-168.9,0.3,0.67,55
216,729,MOp5,59.5,-156.9,0.4,0.87,54
113,556,MOp2/3,32.6,-80.5,0.4,0.8,30
174,2803,MOp5,47.3,-127.1,0.4,0.6,52
328,1960,MOp5,79.7,-248.2,0.3,0.53,73
151,3148,MOp5,37.3,-114.1,0.3,0.4,44
140,3463,MOp5,45.2,-94.5,0.5,0.37,35
830,181,MOp5,181.7,-647.9,0.3,0.57,69
775,425,MOp5,166.5,-608.2,0.3,0.57,69
822,192,MOp5,178.5,-643.8,0.3,0.57,67
110,1308,MOp5,32.4,-77.4,0.4,0.87,44
192,1460,MOp5,64.5,-127.5,0.5,0.47,66
294,113,MOp5,88.9,-205.5,0.4,0.57,55
269,2338,MOp5,73.3,-195.9,0.4,0.57,109
125,2934,MOp5,46.4,-78.5,0.6,0.83,75
367,179,MOp5,102,-265.2,0.4,0.6,69
278,1865,MOp5,73.3,-204.5,0.4,0.57,108
291,412,MOp5,84.8,-206.3,0.4,0.53,124
281,2596,MOp5,73.1,-208.4,0.4,0.67,67
838,70,MOp5,122.6,-715.7,0.2,0.43,80
525,4149,MOp5,88.8,-436.3,0.2,0.6,61
91,3974,MOp5,30.7,-60,0.5,0.77,28
241,1877,MOp5,61.5,-179.6,0.3,0.73,77
262,456,MOp6a,86.1,-175.8,0.5,0.53,61
177,179,MOp6a,58.1,-119.3,0.5,0.53,80
526,126,MOp6a,191.5,-334.7,0.6,0.47,126
496,4092,MOp6a,126.4,-369.8,0.3,0.57,64
140,307,MOp6a,47.7,-91.9,0.5,0.23,50
597,841,MOp6a,142.6,-454.7,0.3,0.5,71
438,294,MOp6a,78.6,-359.3,0.2,0.53,83
432,79,MOp6a,77.4,-355,0.2,0.6,82
459,88,MOp6a,77.2,-381.7,0.2,0.57,83
469,272,MOp6a,81.7,-387.1,0.2,0.57,82
199,463,MOp6a,64.2,-134.8,0.5,0.5,84
270,868,MOp5,84.4,-186.1,0.5,0.53,86
310,1964,MOp5,75.1,-234.5,0.3,0.47,50
111,2076,MOp5,28.5,-83,0.3,0.67,41
155,313,MOp6a,49,-106.5,0.5,0.57,57
98,2396,MOp6a,35.3,-63.1,0.6,0.57,26
107,3049,MOp6a,46.6,-60.8,0.8,0.57,25
158,339,MOp6a,52.1,-105.7,0.5,0.43,54
194,921,MOp6a,71.4,-122.7,0.6,0.53,69
197,1410,MOp6a,73.9,-122.8,0.6,0.27,23
175,108,MOp6a,75.1,-99.6,0.8,0.67,48
89,283,MOp6a,20.9,-67.8,0.3,0.73,37
77,1673,MOp6a,12.7,-64.4,0.2,0.27,9
160,404,MOp6a,34,-125.6,0.3,0.3,45
105,575,MOp6a,12.1,-92.4,0.1,0.4,12
155,6648,MOp6a,39.6,-115.4,0.3,0.3,45
176,148,MOp6a,70.6,-104.9,0.7,0.63,57
156,542,MOp6a,24.7,-131.3,0.2,0.3,14
152,459,MOp6a,26,-125.6,0.2,0.3,12
181,975,MOp6a,65.4,-115.7,0.6,0.47,38
362,1778,MOp6a,114,-247.9,0.5,0.57,78
290,70,MOp6a,82,-208,0.4,0.57,40
136,570,MOp6a,30.2,-105.6,0.3,0.47,37
180,582,MOp6a,13.7,-165.9,0.1,0.27,11
98,896,MOp6a,26.6,-71,0.4,0.6,33
126,2987,cc,45.1,-80.4,0.6,0.73,48
191,871,MOp6a,44.5,-146.3,0.3,0.63,36
200,1873,MOp6a,58.7,-141.7,0.4,0.6,52
153,4167,MOp6a,29.5,-123.8,0.2,0.6,51
142,3089,MOp6a,45.8,-95.8,0.5,0.6,50
135,227,MOp6a,37.9,-96.7,0.4,0.67,47
136,1913,MOp6a,39,-96.5,0.4,0.53,49
206,105,MOp6a,41.5,-164.8,0.3,0.23,9
188,100,MOp6a,124.3,-63.5,2,0.67,44
340,393,MOp6a,150.5,-189.9,0.8,0.33,29
311,373,MOp6a,139.9,-171.4,0.8,0.3,28
305,7795,MOp6a,128.1,-176.6,0.7,0.33,25
133,333,MOp6a,38,-94.6,0.4,0.6,50
116,768,MOp6a,37.1,-79.4,0.5,0.73,48
139,2734,cc,110.3,-28.3,3.9,0.87,0
182,381,cc,46,-136.4,0.3,0.23,13
